date,portfolio_value,cummax,drawdown
2019-01-01,100000.0,100000.0,0.0
2019-01-02,99905.5914,100000.0,-0.0009440859999999551
2019-01-03,99958.8914,100000.0,-0.00041108600000006046
2019-01-04,99730.0914,100000.0,-0.002699085999999906
2019-01-07,100252.88399285713,100252.88399285713,0.0
2019-01-08,100627.36767142857,100627.36767142857,0.0
2019-01-09,100742.36767142857,100742.36767142857,0.0
2019-01-10,100147.86767142857,100742.36767142857,-0.005901191462354349
2019-01-11,103181.3318392857,103181.3318392857,0.0
2019-01-14,102740.03535357142,103181.3318392857,-0.004276902399376281
2019-01-15,103200.3428392857,103200.3428392857,0.0
2019-01-16,105073.15934642857,105073.15934642857,0.0
2019-01-17,105197.87101785716,105197.87101785716,0.0
2019-01-18,104791.18551071429,105197.87101785716,-0.0038659100531971413
2019-01-21,104464.93551071429,105197.87101785716,-0.006967208557086324
2019-01-22,103593.72092142858,105197.87101785716,-0.01524888365997712
2019-01-23,102878.32092142859,105197.87101785716,-0.022049401513409284
2019-01-24,100936.21400285716,105197.87101785716,-0.04051086750868371
2019-01-25,102031.09059428572,105197.87101785716,-0.030103084719593665
2019-01-28,101685.07755857144,105197.87101785716,-0.033392248581622264
2019-01-29,100423.57755857144,105197.87101785716,-0.045383936129993474
2019-01-30,100243.8598,105197.87101785716,-0.04709231441590889
2019-01-31,101847.78777142859,105197.87101785716,-0.03184554225303582
2019-02-01,104017.16312428573,105197.87101785716,-0.011223686203411964
2019-02-04,103040.32322428573,105197.87101785716,-0.02050942450351667
2019-02-05,103110.32322428573,105197.87101785716,-0.019844011797701455
2019-02-06,103604.52322428573,105197.87101785716,-0.015146198094645569
2019-02-07,104885.14534928574,105197.87101785716,-0.002972737618600063
2019-02-08,104018.67357500002,105197.87101785716,-0.011209328016314801
2019-02-11,105410.94582500002,105410.94582500002,0.0
2019-02-12,106269.95582500003,106269.95582500003,0.0
2019-02-13,105821.93203357146,106269.95582500003,-0.004215902678705863
2019-02-14,107203.27979357145,107203.27979357145,0.0
2019-02-15,105954.62979357145,107203.27979357145,-0.011647498121366895
2019-02-18,106482.38593071431,107203.27979357145,-0.006724550445147526
2019-02-19,107068.72575071434,107203.27979357145,-0.0012551299094225588
2019-02-20,109177.03035785716,109177.03035785716,0.0
2019-02-21,110870.23035785717,110870.23035785717,0.0
2019-02-22,110713.23035785717,110870.23035785717,-0.00141606993593546
2019-02-25,112674.2664364286,112674.2664364286,0.0
2019-02-26,111614.0164364286,112674.2664364286,-0.009409868229301455
2019-02-27,111392.2664364286,112674.2664364286,-0.01137793074271587
2019-02-28,111591.0164364286,112674.2664364286,-0.009613996471955488
2019-03-01,112200.0164364286,112674.2664364286,-0.004209035612116274
2019-03-05,113402.2664364286,113402.2664364286,0.0
2019-03-06,113513.7664364286,113513.7664364286,0.0
2019-03-07,113123.2664364286,113513.7664364286,-0.00344011138260214
2019-03-08,112787.0164364286,113513.7664364286,-0.006402307163395959
2019-03-11,113854.4760864286,113854.4760864286,0.0
2019-03-12,115982.0260864286,115982.0260864286,0.0
2019-03-13,114541.6760864286,115982.0260864286,-0.012418734597088865
2019-03-14,113598.33895785717,115982.0260864286,-0.02055221148486519
2019-03-15,111920.88895785717,115982.0260864286,-0.035015228355685935
2019-03-18,109703.73895785717,115982.0260864286,-0.05413155245186785
2019-03-19,110275.48895785717,115982.0260864286,-0.049201909305489844
2019-03-20,110420.18895785717,115982.0260864286,-0.04795430219874586
2019-03-22,113698.73895785717,115982.0260864286,-0.01968656011294323
2019-03-25,110156.10492321433,115982.0260864286,-0.050231241510411695
2019-03-26,109552.20492321432,115982.0260864286,-0.055438082780368436
2019-03-27,106860.06492321432,115982.0260864286,-0.0786497828242515
2019-03-28,109705.4951946429,115982.0260864286,-0.054116410133312254
2019-03-29,107726.29483464289,115982.0260864286,-0.0711811263379174
2019-04-01,108545.14923464289,115982.0260864286,-0.06412094272472724
2019-04-02,112369.3868689286,115982.0260864286,-0.03114826787736824
2019-04-03,116690.09245821429,116690.09245821429,0.0
2019-04-04,120414.19897607145,120414.19897607145,0.0
2019-04-05,121998.88207607146,121998.88207607146,0.0
2019-04-08,119908.76669035718,121998.88207607146,-0.017132250313662722
2019-04-09,115934.66669035717,121998.88207607146,-0.0497071389714292
2019-04-10,114142.5212296429,121998.88207607146,-0.06439699047020608
2019-04-11,116961.4712296429,121998.88207607146,-0.041290631198468764
2019-04-12,114063.3212296429,121998.88207607146,-0.0650461767467706
2019-04-15,115311.9212296429,121998.88207607146,-0.05481165673517363
2019-04-16,117778.2212296429,121998.88207607146,-0.03459589772139704
2019-04-18,115782.1712296429,121998.88207607146,-0.050957113218071726
2019-04-22,113493.15403321435,121998.88207607146,-0.06971972118198122
2019-04-23,112348.35403321435,121998.88207607146,-0.07910341372505036
2019-04-24,114523.55403321434,121998.88207607146,-0.06127374214950543
2019-04-25,112634.75403321433,121998.88207607146,-0.07675585122999906
2019-04-26,111433.15403321435,121998.88207607146,-0.08660512180979607
2019-04-30,107906.53499750007,121998.88207607146,-0.11551210010091906
2019-05-02,106777.68499750007,121998.88207607146,-0.12476505374106894
2019-05-03,106138.86159392865,121998.88207607146,-0.13000135912928623
2019-05-06,104678.46159392865,121998.88207607146,-0.14197196062290796
2019-05-07,102356.31159392867,121998.88207607146,-0.16100615143255836
2019-05-08,102235.81159392867,121998.88207607146,-0.16199386540132132
2019-05-09,102626.96159392866,121998.88207607146,-0.1587876884811419
2019-05-10,101931.96159392865,121998.88207607146,-0.1644844619939242
2019-05-13,102101.26159392866,121998.88207607146,-0.16309674435980315
